name,type,lat,lon,cuisine,source
Hotel Janardhana,restaurant,12.9856254,77.5788885,,OSM
Domino's,fast_food,12.9930001,77.7027197,pizza,OSM
SLV Fast Food,fast_food,12.9672919,77.5426111,,OSM
Durga Chats,fast_food,12.9724264,77.5388651,,OSM
Paratha Point,fast_food,12.9672031,77.541844,,OSM
LJB Iyengar's Bakery,fast_food,12.9676187,77.541608,,OSM
Nature Fresh,cafe,12.9673021,77.5421438,,OSM
Kabab Studio,restaurant,12.9853569,77.5792692,indian,OSM
Foody's,restaurant,12.9578638,77.5932147,,OSM
Olive Beach,restaurant,12.966942,77.60796,french,OSM
5 Centrigrade,cafe,12.9598295,77.7475972,,OSM
Subway,fast_food,12.9598156,77.7483032,sandwich,OSM
MTR,restaurant,12.9598156,77.7481385,,OSM
Cream n Desserts,cafe,12.9599141,77.748448,ice_cream,OSM
McDonald's,fast_food,12.9598101,77.748238,burger,OSM
Taj Express,fast_food,12.9598302,77.7474647,thai,OSM
Ala Dakshinapuramlo,restaurant,12.9598316,77.7473381,,OSM
Rajdhani Snacklet,fast_food,12.9598156,77.7485602,,OSM
Beijing Bites,fast_food,12.9598375,77.7476967,chinese,OSM
Pind Balluchi,restaurant,12.9598229,77.7479363,,OSM
KFC,fast_food,12.9596115,77.7473085,chicken,OSM
GoPizza,fast_food,12.9598068,77.7484572,pizza,OSM
Kalmane Koffee,cafe,12.9597243,77.7484523,,OSM
Toscano's,restaurant,12.9598943,77.7481291,,OSM
Hot N Cool,fast_food,12.8511373,77.6572789,,OSM
Cafe Coffee Day,cafe,12.9261691,77.6803833,coffee_shop,OSM
Domino's,fast_food,12.9263049,77.6803137,pizza,OSM
McDonald's,fast_food,12.9264201,77.6805202,burger,OSM
Cafe Coffee Day,cafe,12.9783158,77.7123264,coffee_shop,OSM
Qmin,cafe,12.9771241,77.7184791,,OSM
Sri Vishnu Palace,restaurant,12.979486,77.6951134,,OSM
Plate 99 Restaurant,restaurant,12.979298,77.6951854,indian,OSM
Pizza Hut,restaurant,12.9570622,77.7087772,pizza,OSM
Barista,cafe,12.9349444,77.6293498,coffee_shop,OSM
Chat,fast_food,12.9711101,77.6342171,,OSM
Domino's,fast_food,13.0215955,77.6393557,pizza,OSM
Shree Sagar CTR,restaurant,12.9982568,77.5694946,regional,OSM
Parota Point,fast_food,13.0087998,77.5634096,,OSM
Food Camp,restaurant,13.0009296,77.5723686,,OSM
Sri Sai Dosa Center,restaurant,13.0010829,77.5721394,regional,OSM
Amrut Ice-cream,fast_food,13.0018529,77.5671939,ice_cream,OSM
Cafe Coffee Day,cafe,12.913356,77.651692,coffee_shop,OSM
Papa John's,fast_food,12.913287,77.651677,pizza,OSM
Eden Park,restaurant,12.9831559,77.5987115,indian,OSM
Transit,food_court,12.9343647,77.6110938,,OSM
Cafe Coffee Day,cafe,12.9344118,77.6109865,coffee_shop,OSM
India Coffee House,cafe,12.9823242,77.594716,,OSM
Pallavi Grand,restaurant,12.8482581,77.6625319,indian,OSM
Pizza Hut,restaurant,12.9040043,77.5734008,pizza,OSM
Domino's,fast_food,12.8940827,77.5679951,pizza,OSM
Sri Krishna Upahar,fast_food,12.894203,77.5681238,indian,OSM
Coffeeday Xpress,cafe,12.9741202,77.653743,,OSM
Sue's Kitchen,restaurant,12.9793502,77.6421411,,OSM
Mainland China,restaurant,12.9621543,77.6418716,,OSM
Kota Kachori,fast_food,12.9362306,77.6254307,,OSM
Coast to Coast Sea food restaurant,restaurant,12.9370423,77.6245906,,OSM
Tamrind Restaurant,restaurant,12.9342471,77.6234716,,OSM
Kubey Seafood Restaurant,restaurant,12.9370998,77.6245424,,OSM
Polar Bear,cafe,12.9089347,77.5626077,ice_cream,OSM
Udupi Swada,restaurant,12.9075699,77.5640131,regional,OSM
NJAC,cafe,12.9089138,77.5625218,coffee_shop,OSM
Prasiddhi,restaurant,12.9109843,77.5791221,indian,OSM
Nandhini Deluxe,restaurant,12.9056456,77.5855728,indian,OSM
Incara,restaurant,12.9027732,77.5837541,indian,OSM
Sabari Juice Junction,fast_food,12.9687955,77.6488858,juice;sandwich,OSM
